14199
0	-3.53725e-05
0.005	-3.61609e-05
0.01	-3.53789e-05
0.015	-3.62084e-05
0.02	-3.54743e-05
0.025	-3.61558e-05
0.03	-3.5331e-05
0.035	-3.63333e-05
0.04	-3.60058e-05
0.045	-3.67515e-05
0.05	-3.58286e-05
0.055	-3.75974e-05
0.06	-3.84964e-05
0.065	-3.90067e-05
0.07	-3.53066e-05
0.075	-3.32963e-05
0.08	-3.19776e-05
0.085	-3.44239e-05
0.09	-3.50875e-05
0.095	-3.51023e-05
0.1	-3.3306e-05
0.105	-3.8305e-05
0.11	-4.24518e-05
0.115	-3.93862e-05
0.12	-3.24667e-05
0.125	-3.30448e-05
0.13	-3.87104e-05
0.135	-3.95453e-05
0.14	-2.68072e-05
0.145	-2.19591e-05
0.15	-3.29796e-05
0.155	-4.89987e-05
0.16	-4.54376e-05
0.165	-3.32416e-05
0.17	-2.96448e-05
0.175	-4.01449e-05
0.18	-4.67304e-05
0.185	-3.71584e-05
0.19	-1.76465e-05
0.195	-1.13401e-05
0.2	-1.2806e-05
0.205	-2.29567e-05
0.21	-4.14286e-05
0.215	-6.03213e-05
0.22	-5.29597e-05
0.225	-3.1986e-05
0.23	-3.00364e-05
0.235	-5.87833e-05
0.24	-6.82139e-05
0.245	-4.33613e-05
0.25	-1.80666e-05
0.255	-2.42885e-05
0.26	-4.61759e-05
0.265	-6.22307e-05
0.27	-6.57216e-05
0.275	-5.70409e-05
0.28	-4.42102e-05
0.285	-4.95266e-05
0.29	-5.53919e-05
0.295	-3.87179e-05
0.3	-2.60798e-05
0.305	-5.65451e-05
0.31	-0.000102627
0.315	-0.000115229
0.32	-5.66716e-05
0.325	-3.1476e-06
0.33	7.20878e-06
0.335	9.3509e-06
0.34	-5.85534e-06
0.345	-5.39543e-05
0.35	-8.47121e-05
0.355	-5.98523e-05
0.36	-2.72205e-05
0.365	-3.47259e-05
0.37	-4.08693e-05
0.375	-1.56674e-05
0.38	1.44865e-06
0.385	3.66204e-06
0.39	3.24577e-05
0.395	7.63486e-05
0.4	7.80557e-05
